text,useful,stars,date
Bought as a Christmas gift for someone. I bought iPad as well. Will update when it's used.,0.0,1.0,2016.0
Great tablet for the price. It is easy to navigate.,0.0,1.0,2016.0
I believe that this will be very useful during my husbands recovery from foot surgery.,0.0,1.0,2016.0
This is something that is useful if your looking for something to take along trips,0.0,1.0,2016.0
This is a wonderful device. I love the extra capabilities and apps.,0.0,1.0,2016.0
Decent tablet. Access to kindle and pretty much all your google apps.,0.0,1.0,2016.0
I am very happy with this tablet. The worst thing is that my steals it all the time. Lol,0.0,1.0,2016.0
"A family member has vision problems. They had seen/used the Kindle of another family member - especially the ability to scale text. This device will make it possible to read, which she has had extreme difficulty doing.",0.0,1.0,2016.0
Easy setup and connect to WIFI. Great viewing area. Easy to read in bright places.,0.0,1.0,2016.0
I got this fire for my friend who wants to buy kindle..this serves both Kindle and Tab... very nice and very cheap..worth for what i paid.. I highly recommend this for beginners,0.0,1.0,2016.0
Really enjoyed the price value of this tablet versus ipad,0.0,1.0,2016.0
Amazing tablet with fast processor. It looks great... got good deal,0.0,1.0,2016.0
I purchased it for my mother-in-law and she loves it it was easier for her to use and understand,1.0,1.0,2016.0
The Amazon Fire is amazing! Picture clarity and sound are excellent! I highly recommend this tablet! Love it!,1.0,1.0,2016.0
Sharp picture and easy to use. And a fantastic price,1.0,1.0,2016.0
I like this is great I bought it my friend he was pleased abount,1.0,1.0,2016.0
I wanted a low cost but quality tablet and this one is a dream! Easy to navigate and excellent graphics.,1.0,1.0,2016.0
This a great tablet for everyone. Plenty of memory for downloading. Great features all around.,0.0,1.0,2016.0
"I own two Nook tablets, another Kindle and a Samsung and this is the best one yet. Excellent battery life. Lets me check emails the Web and with Kindle. books can be switched from reads to listens. Also works better than the Nook with audiobooks.",0.0,1.0,2016.0
I bought this tablet for my 4 year old daughter. Too many advertisements. I would rather pay more and not have a single ad.,1.0,0.0,2016.0
This is a step up from what my son was using. He said it does well and easy to use.,0.0,1.0,2016.0
This is a good tablet for kids who are starting off,0.0,1.0,2016.0
I bought this for my 6 year old and it's perfect. Faster & clearer than older versions.,0.0,1.0,2016.0
Awesome good size large enough for games and photos,0.0,1.0,2016.0
Great gift easy to use and she loves being able to take it anywhere,0.0,1.0,2016.0
"I bought this to replace the 7 inch version I lost in the airport. I wanted the bigger screen and the higher resolutions. It is much when loading games in offline mode as well as videos I have downloaded from Amazon Prime to play on the plane when wifi is not available. That was a plus for me. And now that the updated Netflix app allows the same thing, I have plenty of videos. I can also play my .mp4 videos using VLC player that I load to a microSD card. Of course you have wifi and Bluetooth so great for surfing try he net or listening to music. The 8 in screen is perfect for lying in bed and watching my show. I highly recommend this.",0.0,1.0,2016.0
"Intuitive user interface, rapid online access through well designed features, light weight, ergonomic buttons for volume and power. Overall a thoroughly well designed, excellent priced device for web browsing and social media.",0.0,1.0,2016.0
PURCHASED THIS WITH A STORE CREDIT AND LIKE IT A LOT. COMPARES WELL WITH MORE EXPENSIVE TABLETS..RECOMMENDED,0.0,1.0,2016.0
"great device for the price. good looking screen, quick and efficient. amazon app store isn't that bad either",0.0,1.0,2016.0
Great gift for any age. Wish I bought two. I can do everything on this that I was doing on my ipad,0.0,1.0,2016.0
Great budget tablet for web browsing. Also useful as an MP3 player and ebook reader.,0.0,1.0,2016.0
I got 2 of these for my 8 yr old twins. My 11 yr old has one but this one is better. Perfect way to get them to read,0.0,1.0,2016.0
This is a superb tablet for the price. It doesn't come with the Android operating system. It has Amazon's operating system. The battery last a good long time and apps run very fast. I would recommend this to anyone who wants a tablet.,0.0,1.0,2016.0
"My daughter love her new tablet, I use for a few days and it's pretty good",0.0,1.0,2016.0
So very happy with the new kindle ! I highly recommend this product !,0.0,1.0,2016.0
It may be cheap but this is a great tablet and works awesome.,0.0,1.0,2016.0
My wife absolutely loves this tablet. It wad an early Christmas present,0.0,1.0,2016.0
Bought for my 11 year old son and he absolutely loves it.,0.0,1.0,2016.0
I bought this as a Christmas gift for my son. Very easy to use.,0.0,1.0,2016.0
This product is very handy on the go. I can check emails and find work for my truck.,0.0,1.0,2016.0
"I am an Amazon Fan. Ive only had Amazon tablets so I cant compare them with any other brand. But, Amazon has great customer service, a lot of great apps. The HD 8 is a great tablet for watching movies, most games, and social media. Its not as good as the Kindle fire hdx. The speakers arent as good, the hdx has more of a surround sound, but the hd 8 is less expensive, has a place for a sims card for extra space, and has an ok front and rear facing camera. Overall its a great tablet for a great price.",0.0,1.0,2016.0
"I previously had bought an older model of these tablets for my children. I wasn't to happy with them. But this tablet is great, it has child safety features like wether you would like to have them surf the web to even limiting the amount of hours your child can use it. Very good tablet for what my kids will use it for which is mostly Netflix Hulu and even though there isn't you tube app there are alternate apps that acces you tube.",0.0,1.0,2016.0
"Got this tablet for Black Friday. Wow, 16 gigs, great screen, expandable memory, what a deal. Tablet is a must have for Amazon Prime members. It unlocks the door for all those great Prime perks; books, shows, and shopping. Pairs to Alexa. Great screen for books! Buy it already!",0.0,1.0,2016.0
Bought it on black Friday for 60$ .Value for money tablet. It lags at heavy tasks and also apps are reloaded when 2-3 apps are opened at same time. But at this price it is expected. Go for it if budget is <100$.,0.0,1.0,2016.0
overall this is a good tablet. it is best with those who have Prime Amazon and the ability to watch Amazon video. a good price for a good tablet but has limitations based on the operating system. for video watching and basic use a good choice,0.0,1.0,2016.0
I love the size and portability of this. Keeps me in touch and having fun.,0.0,1.0,2016.0
Nice tablet and couldn't beat the Black Friday price,0.0,1.0,2016.0
I'm sorry I didn't buy it sooner! Very easy to use. Love it.,0.0,1.0,2016.0
"It feels a bit more rugged than my original Fire tablet, and I believe it is an excellent value.",0.0,1.0,2016.0
Good tablet for basic needs. Screens resolution is pretty good. Mostly using for reading and sometimes for watching movies/shows. Great feature is the possibility to use the card to expand the memory. Good product for great price!,0.0,1.0,2016.0
Bought as a gift for my 86 yr old mom to stalk her kids and grandkids on FB. She mastered it in a few.minutes with minimal instruction. Now I have to watch my posts.,0.0,1.0,2016.0
For a cheaper price this does more than my kindle- love having this tablet,0.0,1.0,2016.0
Had a smaller version. Love the bigger screen. Use this product more than a computer.,0.0,1.0,2016.0
I bought 2 of the kindles for my grandsons. They love them! Had them charged and set up right away. No issues at this point.,0.0,1.0,2016.0
"Easy to use bought for our 5 year old, found a case which allows him to keep it safe.",0.0,1.0,2016.0
Great 8 inches tablet with and amazing storage for apps.,0.0,1.0,2016.0
Santa dropped this off for our 4th grader along with expanded memory. he uses it for Netflix and Youtube as well as Minecraft and other Apps. Why spend hundreds on something for basic kids needs? I'm sure this will last him a few years and is well worth the price.,0.0,1.0,2016.0
Got this tablet for my 3 year old son and he can not put it down. It is so much to do. So many learning games. I love this product,0.0,1.0,2016.0
"This tablet runs smooth with all amazon apps, the internet runs at a steady frame rate and it had a decent sized screen.",0.0,1.0,2016.0
This is a good device for entertainment and entry level tasks. I think it can do a lot for the price.,0.0,1.0,2016.0
Nice price for the new model with Alexa built in and expandable storage!,0.0,1.0,2016.0
"I have enjoyed the new Kindle,however, was extremely disappointed that it does not have an HDMI port like the old version did.",0.0,1.0,2016.0
this product is really awesome for kids to play in all sorts.We can use a strong case and let kids play in it .,0.0,1.0,2016.0
i like the features it has and it is easy to navigate.,0.0,1.0,2016.0
This is perfect my kids to do their school work on and have fun as well.,0.0,1.0,2016.0
Great gift for my dad. Clear picture and easy set up,0.0,1.0,2016.0
Love my kindle! Works better than expected! Kindle is much faster than my old tablet!,0.0,1.0,2016.0
"I have never owned a tablet. Wanted an I-Pad like most, but couldn't afford the sticker price. This one fit my needs perfect. I mainly just use it for web surfing and streaming video. No complaints so far! I would recommend this device.",0.0,1.0,2016.0
also great for listening to music and also for movies,0.0,1.0,2016.0
The screen picture is crisp and bright. I will use this tablet for many things.,0.0,1.0,2016.0
small and powerful... great adult toy for a reader,0.0,1.0,2016.0
"This was purchased as a Christmas present for my aunt who lives with us. For the price, I thought it would be a good option for her since she doesn't want to drop the cash on an iPad.For comparison, the closest thing I have is an 8"" insignia tablet with similar screen resolution, storage, and features that was released at the same time. The Fire tablet impresses me! It is more responsive than the existing android tablet I have.This tablet runs FireOS which is Amazon's customized version of Android. Typically I do not like custom Android, preferring to have as close to a vanilla system as possible. I am not bothered by that with the Fire. If you need them the parental controls are second to none! The Amazon app store is extensive, although not as extensive as the Google Play store. Still you should be able to find pretty much everything you need there.This is not a flagship device, but performs incredibly for the price. I will most likely be purchasing one soon for myself.",0.0,1.0,2016.0
I was hoping to use Google launcher with this tablet but it is really locked down and you cannot change the launcher or the lock screen. Still cheap and fine for watching movies.,0.0,0.0,2016.0
"Great tablet for reading and also surfacing the web, along with your favorite social media apps!",0.0,1.0,2016.0
"The price is low because Amazon uses their adds to subsidize the price. The actual tablet works well. The biggest negative is that you can only install apps from the Amazon store. There are many Android Apps available in the google store that are not available in the Amazon store.I primarily use the tablet for bible gateway, dish anywhere, play some games, read the newspaper, and Facebook. In the future I want to try to use it with my local library.",0.0,1.0,2016.0
Screen is very clear and battery last a long time. Very good substitute if you can afford a iPad.,0.0,1.0,2016.0
I found it to be very versatile and enjoyable benefiting from a touch screen.,0.0,1.0,2016.0
Ipad killer! A fierce tablet at a convinient price!,0.0,1.0,2016.0
bought as a gift she loves it all kinds of apps easy to use and even easyer with amazon prime,0.0,1.0,2016.0
I bought it as the display for my Echo. Turning on Voicecast routes information to the tablet with the voice reaponse. It'S been exactly what I hoped it would be and the price was right.,0.0,1.0,2016.0
"This tablet is exactly what I was looking for to take on trips. The kids can watch their movies and videos, or I can read from my kindle library. Perfect size.",0.0,1.0,2016.0
I bought this as a gift for my son and I know he will love it he has the old kindle fire as likes it a lot,0.0,1.0,2016.0
"My mom had an old one, she was so excited to get this one.",0.0,1.0,2016.0
Works great and is fast. Great for reading and internet use,0.0,1.0,2016.0
Bought as a gift to my dad and he likes it so far. It's fast enough for apps and great for reading,0.0,1.0,2016.0
"Works great but the app store is nothing like that of Apple or Google. Fortunately, you can install many Android apps from 1Mobile. The screen is fabulous and it's great at its roots: making reading books fun.",0.0,1.0,2016.0
"I love this tablet. I know it's not an iPad or any of the big tablets but it does just what I need it to do. I've had it a few weeks now. I've downloaded videos, read a few books and played some games. I've had zero problems so far. I know it's not the best video, but for the price of the tablet I don't expect it to look like my flat screen TV. I'm trying not to load too many things to keep it from slowing down. So far so good. Browsing the internet is easy too. I'm getting used to the browser and the app store for Amazon. For the price of this tablet it's not too shabby!!!",0.0,1.0,2016.0
You can do some many things and the best part apps for free on Amazon underground!,0.0,1.0,2016.0
"Works great for my 6 year old. Wanted an inexpensive tablet for himsince he can be pretty rough with things. So far so good, and we love the FreeTime app.",0.0,1.0,2016.0
Was looking to get an inexpensive tablet that ran Android. The Amazon Fire tablet was a much better value than other similar products. Have been very happy with the tablets durability and quality so far too. Would recommend to anyone looking for a lower-end tablet.,0.0,1.0,2016.0
Bought 2 for each of our teenagers and they just love it... Very cool reading features and zero buffering while watching Netflix.,0.0,1.0,2016.0
Good quality product. Clear display and easy to use.,0.0,1.0,2016.0
"My mother, husband, and daughter all enjoy using Fire. It's a great way to stay preoccupied.",0.0,1.0,2016.0
Out of all the tablet choices out there we buy these for our children over any other. You can't beat the price and durability.,0.0,1.0,2016.0
very good product and right on the cost! Great gift for the holidays.,0.0,1.0,2016.0
Purchased this for reading and the price. Good value for money.,0.0,1.0,2016.0
"Great for reading, game playing, searching the web and social media.",0.0,1.0,2016.0
"I really like the Fire IS 8 16gb, it is fast and smooth.",0.0,1.0,2016.0
Does everything a regular tablet can and for the price you really can't beat it,0.0,1.0,2016.0
This is so easy to use and does exactly what I hoped.,0.0,1.0,2016.0
Great tablet for streaming ! good internet connection along with a nice display,0.0,1.0,2016.0
Bought it as an e-reader. Convenient and easy to use. Text is very readable. I am pleased.,0.0,1.0,2016.0
"This is a nice little tablet for the $60 I paid on black Friday. At the regular price I would probably have gone with something a little less restricted and without so much Amazon content. The lock screen ads aren't much of a problem, I understand Amazon sells these cheap and gets it back via ads, but the 15-20 Amazon apps are a little much. It would be easier to stomach if you could add the ones you want or remove the ones you don't. That said, I was able to install the Google Play store and this tablet does everything I need it to do. Overall, I'm pretty happy with the purchase. It's a nice new toy. One note: In the online photos the magenta looks purple. It's actually pink. If you like purple, get a black one and a purple case.",0.0,1.0,2016.0
So cool after playing with this for a while now I would never spend the money on an apple for what I am doing with it.,0.0,1.0,2016.0
Love the new fire hd 8. Price is amazing and if you are an amazon prime mbr its even better! Great for the kids as you can lock their profiles to a kids mode and they can't buy anything. If i had one downfall its the smaller amount of apps available than apple or google play.,0.0,1.0,2016.0
"Had the Fire HD 7"" before and just wanted to upgrade. Loving it so far and really enjoying the bigger screen!",0.0,1.0,2016.0
The tablet is not for me it is for a Christmas gift,0.0,1.0,2016.0
This was a great buy for my son. He needed something that he could easily transport and that woudl allow him to access the internet and various forms of media. This was a perfect choice since he also has a amazon Prime account.,0.0,1.0,2016.0
Got this for my sister as a Christmas present and she loved it.Easy to use and great for books.,0.0,1.0,2016.0
She loves to use it to watch Netflix and play games,0.0,1.0,2016.0
This is just the right size and can put games on it just like an iPad.,0.0,1.0,2016.0
I wanted a new kindle fir a while. The price was right,0.0,1.0,2016.0
"The display is not as sharp and vivid as they say but still good. Probably better for reading than watching videos. We didn't really get it for the games, but there is a good selection. WiFi works well and internet browsing is fast.",0.0,0.0,2016.0
The Kindle is a great way to read and watch videos with ease!,0.0,1.0,2016.0
Exciting tablet still amazed by the ease of use great product all in all,0.0,1.0,2016.0
"Couldn't beat the value for this with the Black Friday price. They aren't the best tablets, but they do a lot for the price.",0.0,1.0,2016.0
"great size,sound and battery. just buy it already.",0.0,1.0,2016.0
Love the tablet mainly use for games and internet. Grrat product foe the price.,0.0,1.0,2016.0
"She hasn't used the it yet, but my son did a quick check and it seems just fine.",0.0,1.0,2016.0
"I've had my other Kindle Fire for 5-6 years. It's still working but slowing down. I bought the updated version while it was on sale. I love it! I play games on it, download books, check my email and facebook. It's like a portable mini computer and I wouldn't be without it. I like it better than other people's tablets and you can't beat the price. I bought some for gifts and everybody loves it! I'd recommend it to people of all ages.",0.0,1.0,2016.0
"Great product, no complaints at all,good for kids and adults",0.0,1.0,2016.0
"At ninety dollars, the expectionations are low, but this is still a very good table, it's good for light use like watching videos or web browsing, but the camera is a bit lacking, and at certain times the device can freeze or lag. Overall this is a good tablet for $90, I would recommend this to anyone on a budget.",0.0,1.0,2016.0
Good starter unit. Easy for a beginner to use. Priced low to give you a taste of the tablet world.,0.0,0.0,2016.0
"The Parental Options need some work. You can't even log in to a child account until you have Apps loaded for them to use. Also a kid's login doesn't have access to pre-loaded apps (like the calculator). Seems really odd to me that you can't give them access to basic functionality of the tablet.Otherwise, the tablet itself works great.",0.0,1.0,2016.0
"Bought a Fire HD 8 tablet for my wife. She doesn't like using computers and avoids smartphones, but her new tablet is a big hit. She uses it to play games and to stream movies and radio programs. I use it for everything else -- reading news, checking e-mail, online shopping, etc. It was very easy to set up and even easier to use. Plenty of speed and capacity to do everything we want.",0.0,1.0,2016.0
We already own kindles so we know they are great ! My son is going to live this!,0.0,1.0,2016.0
I purchased 2 of these FIre HD tablets as gifts. They pack a lot of punch for the price. I helped set them up so I was able to get an idea of how they are going to work. The screen was very nice and clear. Speed of tablet was good. It is easy to use. If you are already in the Amazon family through prime it is a no-brainer.I don't believe you can get a better tablet at this price point.,0.0,1.0,2016.0
I bought these as a starter online browser. It is a very portable pad . Great price.,0.0,1.0,2016.0
Just what my wife wanted and needed she loved it! It is easy to use and simple to set up!,0.0,1.0,2016.0
Good tablet for the money. A good add on if you have Amazon prime,0.0,1.0,2016.0
You can't beat the price. Great deal for what you're paying.,0.0,1.0,2016.0
We bought it for our 9 yr. Old daughter and she loves it. We do as well. Kindle tablets are great!,0.0,1.0,2016.0
"its fast, it has good lighting. its got the 16gb space, best gift ive bought for a bookreader.",0.0,1.0,2016.0
I love it.....Reading E books here is so easyPerfect for price,0.0,1.0,2016.0
"With a $20 off deal last blackfriday, who will not get it. Much clearer and faster than the other fire HD. Light weight too",0.0,1.0,2016.0
"If you shop on Amazon all the time, this will help make it easier still. Lots of ads pop up, and you can't use apps from non-Amazon sources unless you root it, and that is complicated. This is not a realistic alternative to an iPad or Galaxy Note. If you just want to a device to shop on Amazon with, you'll love it.",0.0,0.0,2016.0
This is my 2nd Fire tablet. I will alwyas need one. Just wish they lasted longer than 4 years.,0.0,1.0,2016.0
fire tablet is very powerful for the size and does everything!,0.0,0.0,2016.0
"While there are some apps that are missing due to not using the Google Play Store the list is minimal. The tablet itself is quick, responsive, and noticeable nicer than the 7"" fire. Picked this up when it was on sale for black friday sales. It's great for in front of the TV and catching up on email and light web browsing.",0.0,1.0,2016.0
Price was fabulous for an entry level tablet. Right on,0.0,1.0,2016.0
Was impressed how quick and responsive touch and overall speed.Including Alex app.fit in top coat pocket,0.0,1.0,2016.0
"I have been buying Kindles since they first came out. When ever I want to upgrade Kindle is my chosen brand. I am not very tech savvy and I enjoy watching movies, listening to music and primarily reading. I like the ability to purchase narration for my favorite titles and using text-to-speech for the rest.",0.0,1.0,2016.0
Have not used these yet as they are Christmas gifts,0.0,1.0,2016.0
Wife loves this thing. She reads nonstop on it. She can't put it down,0.0,1.0,2016.0
Nice for the price had to put Google play store on myself but still a nice tablet,0.0,1.0,2016.0
"This is a really good tablet for adults but especially great for kids as you can load movies or add apps that they can use. The cost is so low you just can't beat it. Plus, the main feature for me was the Amazon Kindle name on the product which puts it way ahead of the no name tablets on the market. Great product and gift.",0.0,1.0,2016.0
I purchased two of these on Black Friday. What a great purchase. These are very inexpensive and have the ability to do so many things for the kids. I later bought tough cases to keep any damage minimal.,0.0,1.0,2016.0
I love my kindle. I bought the larger screen after owning 2 previous 7 inch screens.,0.0,1.0,2016.0
this tablet has the best battery ive ever seen. The picture is great too.,0.0,1.0,2016.0
I am loving my fire tablet and I am using it everyday at home and at work on break,0.0,1.0,2016.0
I will be ordering Amazon fire for my two granddaughters because they love Nana's so much,0.0,1.0,2016.0
Really beautiful display is great for watching movies and playing games. It is very powerful for the price and you can play lots of games from Amazon for free - they even remove microtransactions from lots of games.Only downside is you need Amazon Prime to get the most out of your tablet,0.0,1.0,2016.0
"Very little set up, Amazon helpful in setting up the functions. Clear pictures and easy to use. Take pictures both ways",0.0,1.0,2016.0
Graphics are great for the price. Would highly recommend.,1.0,1.0,2016.0
"Bought this for my mom and it was just what she needed and at a great price. Been wanting to get an Ipad for myself, but think this might be a great less expensive option for me as well.",0.0,1.0,2016.0
The pad worked as I thought but the screen wasn't as vibrant as our iPads. Still a great deal for the price.,0.0,1.0,2016.0
Perfect thing I needed to read books on and play my games,1.0,1.0,2016.0
"I'm loving the tablet so far. I really like the Amazon underground, and the Fire OS just updated, so it has Alexa on it now. :)",0.0,1.0,2016.0
this tablet is perfect for surfing the internet and following social media,0.0,1.0,2016.0
"I like the shape and size of this Kindle, and the graphics are good. But if I play a game for very long the charge seems to run out pretty quickly. It is very good for books and for music. I would recommend it for those categories.",1.0,1.0,2016.0
For its price. Amongst the others I felt this was a deal,0.0,1.0,2016.0
Perfect size and very responsive. I have 4 of them.,0.0,1.0,2016.0
"No issues runs games and internet well. ,,,,,,,,,,,,",0.0,1.0,2016.0
It is very easy to use for children . We have loved having one and are hoping to buy another one for kids Christmas !!,0.0,1.0,2016.0
good price for the product. I purchased for my middle school son.,0.0,1.0,2016.0
"not good, hate it , never buy it again, sucks. done",0.0,0.0,2016.0
"Smartphone works on the job for me, but with the Fire I can read instructions and worksheets. It is a useful tool for connecting with both friends and colleagues. 8-inches is the right size for holding in hand and carrying with you. Gives me the information, beats printing everything out, or carrying around a large laptop.",1.0,1.0,2016.0
Think this will be a great product for my parents it is a Christmas gift.,0.0,1.0,2016.0
"The Amazon fire tablet is an excellent product. I primarily use it to purchase and read books from Kindle. Also, I use it for my Facebook activity. The battery life is long and it recharges quickly. My 10 year old son also enjoys using it. I would highly recommend this product to others.",0.0,1.0,2016.0
"My husband is a truck driver and being on the road away from home, he likes to have shows and movies to watch. This has so much space for him to download things to watch.",1.0,1.0,2016.0
"A great Kindle reader. Easy to order, read and store books. Also speedy for finding Amazon products and ordering them. But the other apps are really slow - too slow.",1.0,1.0,2016.0
Easy to use as a tablet and easy to use as a ebook reader,0.0,1.0,2016.0
"Not sure if this is due to the new version but I'm not able to install or even sideload certain apps onto the tablet. Amazon is really trying to lock out non-Amazon apps namely ones from Google. Aside from that though, performance is already and what you'd expect from a tablet in this price range. This was purchased for my mom and it does what's needed and my mom has no complaints thus far.",1.0,1.0,2016.0
Tablet is working good for what we wanted it to do.,0.0,1.0,2016.0
