stars,text
1.0,This is the fastest booting tablet I have come across. The speed at which I can access sites is really amazing.
1.0,"Got this for my 9 year old after her ipad crashed and burned. She does not like androids at all but I couldn't afford a expensive tablet for her. So we took a chance with this one. She is pleased and I'm pleased it seems so sturdy , not cheap quality at all. Going to get our youngest child one now. Very pleased."
1.0,"While there are some apps that are missing due to not using the Google Play Store the list is minimal. The tablet itself is quick, responsive, and noticeable nicer than the 7"" fire. Picked this up when it was on sale for black friday sales. It's great for in front of the TV and catching up on email and light web browsing."
1.0,Good quality product. Clear display and easy to use.
1.0,I love this tablet. It does pretty much every thing my ipad does!!!!
1.0,Bought two of these for my grandson and grand daughter and they love them. I like the parental controls and the apps.
1.0,Exciting tablet still amazed by the ease of use great product all in all
1.0,"Bought for my mom, shes in love with it. Use for netflix myself love the 8' great size and cpu speed."
1.0,My 6 year old got it for Christmas and is able to use it very well
1.0,"This tablet runs smooth with all amazon apps, the internet runs at a steady frame rate and it had a decent sized screen."
1.0,BestBuy delivered this on the day of release. Amazon still seems to be back-ordered. It is a great product. Nice and light with uniform screen and snappy performance.
1.0,Use it for what it is necessary. That is all I need.
1.0,Makes a great gift. My children love them and never put them down.
1.0,I like the ease of use and good support from Amazon. A reasonable price for a versatile tablet.
1.0,Great value for such a well made tablet. Everything you need for a low price
1.0,"I'm not going to say this is the best tablet out there,but,for my wifes needs,it is perfect. It does everything she wants to do and more."
1.0,Got this for my kid. Great cheap tablet. Camera aren't so good but usable. Apps load quick.
1.0,"Love the product. I use it every day for Web,Games and reading."
1.0,"I bought this to replace my wife's (1st generation) Kindle Fire. She likes it even better than the old one, especially the pinsharp screen."
1.0,Bought as a gift to my dad and he likes it so far. It's fast enough for apps and great for reading
1.0,"We like the battery endurance. The new 8"" screen is great too."
1.0,this Amazon fire tab works really well.the syncing aspect is very nice being able to pair it with all my devices.i wish it had Google play.
1.0,"Excellent screen , fast response. Almost a steal for that price."
1.0,It is awesome with low price and high quality. My daughters like it very much.
1.0,We are really pleased with this tablet. The color is great.
1.0,very good product in its price range affordable and very good
1.0,My Aunt is 86 and has never used a computer. She does not have internet at her house. But she loves to read and loves to learn and now will be challenged while learning to use her new Kindle.
1.0,The 8 In Fire tablet does everything my nexus 7 tablet did; but also has the added benefit of expandable storage.
1.0,outstanding replacement tablet for my outdated and overpriced iPad 2
