stars,text
1.0,I love the apps that are on here and everything else I think it's the perfect tablet for a beginner has all of the apps that you will need
1.0,Great tablet. Easy to use. Will recommend it to others.
1.0,This is an item that is easy to use for novices. My child uses it and has no issues
1.0,I would recommend this to my friends that you can shop on amazon has many preloaded games. Many Apps
1.0,"works great, wife loves it. Always happy with the kindle"
1.0,We have had no issues with this tablet. Love it!TY
1.0,Bought as a Christmas present. Son uses it to watch youtube and Netflick. Works great.
1.0,Easy to figure out and used it extensively on my vacation.
1.0,I bought this for my sister as a gift so she need not use her laptop for basic internet surfing and to watch movies while travelling. The device speed is decent although you cannot compare the performance to a laptop. If you want to avoid carrying a bulky laptop during travel and want a budget make do device for laptop then choose amazon fire tablet.
1.0,I enjoy using the tablet. I use it when I am biking.
1.0,Love my new Kindle Fire - easy to use - the battery life is amazing!!
1.0,"Good small tablet for all purposes for reading, playing games"
1.0,"She loves this tablet. It works well unlike her ""bargain"" tablet which she tried to use previously and cost about the same. She likes the sound of it also! She enjoys the free games she downloaded and navigates the wev easily with it."
1.0,"I needed to replace my old reader, and found that this model was just as good. if not better, and at a greatly lower price. I have enjoyed using it for about a month, and am very please with it."
1.0,This was a reasonable replacement for a broken tablet.
1.0,I purchased this tablet for my 9 year old son and he loves it. Nice bright screen and has two speakers for pretty good sound for a tablet. Great for games and watching videos.
1.0,I extremely happy with my purchase. I like that the screen is just a little bigger and much faster.
1.0,I purchased a Kindle a few years ago and Have loved the flexibility it give me. I can browse the internet without moving to my desk to get on my personal computer. I love the fact that I can continue to read my books while I travel. Doctor Office Visits seem to just roll by more calmly now because I can ignore the office chatter and the TV selections I rather not watch. I encouraged others to make the purchase and several have done just that. This is my second purchase. Love It!
1.0,"I bought this as a cheap alternative to an old, slow, iPad 2, until I could spring for the iPad Pro. Got it as a Black Friday deal, so it was more than worth it. Was able to add some missing apps that make it even better than I thought it could be, and having Amazon Prime makes it an inexpensive and handy media device. I carry it in my bag at all times without having to worry about it's value. Can't beat it for the price."
1.0,Functionality and ease of use are outstanding right out of the the box. Super clear screen and weight is minimum and is a joy to use.
1.0,Much better screen resolution than my 7 inch fire.
1.0,This is I think the best product I've bought. I already own eight that I've purchased through the years for my family and they seem to only get better and less expensive in price.
1.0,She loves it . it's the best thing we could of ever brought her
1.0,"At the price it is almost an impulse buy. I wanted a tablet for an upcoming trip to watch some movies, read, etc and this was at a price point that made the decision really easy. If you are used to an iPad, the Fire HD is a little disappointing but it costs considerably less. It fit my needs but I felt some slugginess and several instances of needing to reboot to get certain apps to work correct. If you go in with the understanding this isn't an iPad replacement this should fit the bills for you. Let's just say, after my trip I purchased an iPad Pro and this item will likely be handed off to one of my children. If you have Amazon Prime, you do get some nice perks that make this a really nice item."
1.0,"The fire tablet is a great tool for reading, surfing the web, playing games and even watching some Netflix, on a bigger screen, without killing a cell phone charge."
1.0,I would recommend this ereader above all others for its high quality and diversity. Not only as an ereader but as a web browser.
1.0,Bought this so the grandkids could use it. They already have one at their house. My husband has been using it also & he likes it. He has never used a tablet before but he has enjoyed it.
1.0,"My children love this table great quality of pictures, excellent camera"
1.0,"Overall, very impressed especially when compared to my iPad mini 4. This tablet does it all and makes for an excellent e-reader, while also boasting specifications that rival any iPad."
1.0,"A friend of mine was in the market for a new tablet. I had researched the Fire tab for some time and liked the specs, which met her needs. I decided to buy her one for her b day, SHE LOVES IT!"
1.0,"Love how I am able to run the latest Minecraft on this device, but am not able to on a 3-year-old iPad. It seems as apple handy cap their devices. Resolution may not be the best, but for the little buggers it works fine"
1.0,"Light, portable and great features. Highly recommended."
1.0,"I would buy it again and have twice over already. I actually bought the kids fire kindle and bought this for my wife, her's was lost and she borrowed my sons kid fire kindle I ended up buying her this again, and would buy it again. I would recommend buying a sd card it fills up fast without out it but it is a lot cheaper to buy the lower GB kindle and then buy a good sd card."
1.0,"The only reason why I have not given a 5 star review is because sometimes, the unit freezes out of nowhere after I will be reading news articles or after watching Prime/Netflix"
1.0,"I have had a Kindle before, and needed a new one as the old one would no longer charge very well. Still adjusting to some different features from the original one. Do not like the fact that it is difficult to find a case for this one."
1.0,"Has many educational apps I would definitely go into the settings if you're a mother like me who Is a very strict of what your children watch on TV or what games and apps they download I would definitely recommend setting the parental controls before giving it to them. In my personal opinion as a mother I feel it helps by setting the restrictions/content on It helps keep their mind away from the gutter Bcuz most apps and Internet websites have inappropriate sites children should not be watching. We can't control what they put on the Internet but we can control what our children watch and download they stay very occupied on educational apps ,read books most of these apps are free to I also recommend NOT putting a payment method option other than that my kids loved it"
1.0,Easy to use. As a beginner I found this pad very good. Enjoy the kindle app.
1.0,Needed a new Kindle. Wasn't sure what one to choose. This one is GREAT!
1.0,"Bought this for our year end holiday party raffle prize pool. Great price and people always have a use for an amazon tablet. Came with Kaspersky for free as well, which is a pretty generous complimentary add on."
1.0,Good product with best price available in the market place
1.0,I love everything about my new kindle except for the fact that the charging cord is already loose.
1.0,"The HD8 and HD7 are amazing for the price. They aren't top powered tablets, but they're functional tablets. Right now, in Feb 2017, either one is a good replacement for the Nexus 7."
1.0,Good product. Onboard storage does fill up quickly.
1.0,I got myself 1 of these tablets and so far I love the way it works You can enlarge the print and change the lighting to make it easier to read. The only thing with it is you must have an Amazon account to use it.
1.0,I bought the Fire HD 8 & CaseI use it mostly for class..works very good..would be better if it had BlueTooth.
1.0,"Bought this for my 10 year old daughter for Christmas! She LOVES it!!! A great alternative to a pricey iPad Mini!!! She uses it for watching Netflix, YouTube and we use it for homeschool. We are very happy with our purchase!!!"
1.0,"I purchased this for traveling. I can access my e-mail, books and games without lugging my laptop. I'm sure I will learn more as needed."
1.0,We bought this for our son when he went to college. He is able to upload all of his books and other documents.
1.0,Works great. Love the portability of books. Overall great product
1.0,"The kindle is easiest to use, graphics and screen crisp, clear, brilliant colors."
1.0,"seems a lot better, does not have the open cover feature, which I miss, but still getting used to the differences and trying to get my thing back on that I had on the old 1"
1.0,"Thanks to a knowledgeable, low-pressure salesperson, I was ready to buy my first tablet. This one was the right price (on sale) and I have not been disappointed. Every few days I learn more ways to use it besides checking e-mails & checking out library books & audio books. It stays charged for days, even with regular use. I recommend it as an inexpensive and very satisfactory alternative to more expensive tablets."
1.0,"Bought a few of these for Christmas gifts .Everyone is happy !Its a great device for the $$. Low price, and great quality as always from FIRE devices."
1.0,This was a gift for a family member they really enjoy all the options of getting books
1.0,Replaced my hd fire 7 because broke screed. Very pleased with the large screen.
1.0,Good quality android tablet. also makes a very nice gift.
1.0,"I purchased this for my parents who were always viewing facebook or other videos on their cell phones, this Amazon tablet is perfect for them! It's user friendly and if you have an Amazon Prime account has great access to movies and music."
1.0,"Husband loves the 8"" tablet. The screen is big enough to view what he is reading"
1.0,"BY FAR THE BEST TABLET IVE EVER OWNED, EASY AND QUICK SET UP"
1.0,My wife loved her gift. I made the right purchase.
1.0,Fun and reliable. Good quality for the money. Easy to use.
1.0,"Was wanting a bigger screen, which it is, trying to get use to different applications, so far seems easy."
1.0,"I bought this tablet for my sister to replace her kindle. We love it except for the fact it would not connect to ATT internet. I suspect this was an ATT problem. The internet could not be authenticated. Since we have had problems with ATT for seven years, I am sure it was a problem with them! Once my sis read the instructions, she was good to go!"
1.0,"I really enjoy reading. So much so I was running out of shelf space. I have read a few books with my I-pad mini but it really didn't do the trick. No so with my new Amazon Fire Hd-8. Handy sized, not the least bit heavy and super bright. Add in the face that digital material from magazines to novels are often as not far cheaper that ""hard copies""."
1.0,my grandson-8-loves this --the games and the books!
1.0,My wife and kids love easy to use and the size is perfect
1.0,"I didn't think to much of it at first glad at the store, I decided to purchase it. IT WAS THE BEST DECISION EVER MADE"
1.0,"the tablet was on sale for a good price, and they had enough in stock for the CHRISTMAS season> grand children were thrilled."
1.0,"This tablet has it all. Amazon offers tons of free apps, hundreds of thousands of free e-books and tons of free games. The tablet is intuitive and intelligent. I seamlessly enjoy streaming my favorite shows and reading articles, books and periodicals. What I love most is that the tablet doesn't place all apps on the device, but uses the users miro SD card instead for up to 200GB of additional storage for a dizzying amount of storage for more games, apps, books and movies that can be downloaded and enjoyed. It also allows the owner to share the device with family members, delegating each member an account personalized and tailored to that individual. There is even an option to create children's accounts--extra bonus. I am able to mirror the content from the tablet onto my Samsung Smart television. I will definitely consider Amazon first and foremost when making any future tablet purchases. It maintains a charge for a good deal of time, alleviating the need to be near an outlet to enjoy using it. I can charge it in the evening and use it for several hours the next day, sometimes two days. No one will ever create a tablet that is more considerate of the owner/end-user."
1.0,"Bought this tablet for my fiancée daughter, after getting it home and set up, I decided to keep it for myself. Great screen and works great with my pair of Amazon echos. I love it and highly recommend it."
1.0,"Easy to use, solid build, sharp HP screen for movies. Who needs more?"
1.0,"I had Microsoft Surface, unfortunately daughter dropped and cracked screen so needed a new tablet. Since went back to laptop for work didn't need another Surface. Settled on 8"" Kindle HD over Samsung and IPad mini due to value. I only use for social networks, email, games, internet search, and occasional viewing of videos. This is a good basic tablet that can handle this no problem with a good wifi connection. Great value as I paid under $100 during the holidays and it has been as good as my Surface for these basic uses."
1.0,Good tablet for the price. Nice display good performance.
1.0,"use as a reader and music, games watches movies i good all round tablet"
1.0,"It's a great tablet for the price. Don't expect it to be as fast more expensive ones. It's meant for casual use and it does a great job at that. For the price, you can't beat it. Get a nice large microsd card and you don't have to worry about space. It runs a little slow on certain things if you are multitasking but it's a simple tablet. I've run plenty of 720p videos without fail. It's great for ebooks or other files. Some more elaborate pdfs take a while to load if they have a lol of graphics. Battery life seems good for a small table too.The only real Issue I have is the Amazon App store being limited. It is an offshoot of Android but not all the same apps are available. There is a way around it but I wish they would just allow it access to Google Play or at least offer the same apps.So, it's a nice inexpensive table that works great. For the money, you will love it but don't get upset that is doesn't run as fast as a $500 tablet. That's not its job."
1.0,Bought for wife who is not into the techie word. She likes it - suggest buying a protective screen and padded case for it.
1.0,"Biting as a gift, my only concern was the size and the Amazon interface. It was easy enough to download the Google play store, so it was familiar to the user. Size was an initial concern, but it was just right to watch movies without being so cumbersome."
1.0,"We bought this one and a black one for our kids. It's very durable and good price for the quality. For myself personally, I still prefer my iPad, but if on a budget, you won't regret the investment. It's so simple I sometimes struggle using it. The free time experience is awesome for little ones and I can set parameters, which is a huge bonus. For a first-time tablet user, this is a solid product."
1.0,"I bought this Kindle for my husband's birthday. I have had a Kindle since 2013 and I used it mostly to read and check emails while travelling. My husband is not particularly a book reader, but he spends way too many hours alone, in his office, reading his face book messages. Now, with the new Kindle he actually multi-tasks, in the living room, on facebook, email, and internet, at least in proximity to me, so he might even join me in a conversation! I think his Kindle has much imporoved our 35 year marriage!"
1.0,This is as good as my my Ipod! I would recommend it
1.0,"I love my kindle, it is what I like to use at the end of the day or for business trips. The only annoying things are the amount of advertising the put on this version. It was only $35 for Christmas so I can't complain."
1.0,It's fast and easy to use. This is my second kindle fire .
1.0,I liked the screen size and easy to read books at night. The battery has a long life. The outer rcase could be stronger because concerned about durability.
1.0,It was a perfect gift for my godson. He loved it! Definitely would recommend this product.
1.0,Easy to use! Just plug in and search for your favorite movies and TV shows.
1.0,I went into Best But to buy another reader but ended up buying a Fire 8; good value and has the things I need in a reader.
1.0,"I love to read! Books,books, books and more books."
1.0,the only downside of it is that you can't have google playstore on this tablet but you can still install it manually since they both based on android os
1.0,"This is a great tablet for the price, would recommend it to anyone looking for a basic tablet."
1.0,"Very nice for light internet browsing, keeping on top of email, viewing videos, and reading e books, which I like to get free from the library. Good browser, good battery power, fast charge. Very relaxing to sit in a comfy chair and read or browse. Has given me hours of enjoyment and information for a minimal price."
