text,useful
I really like my Kindle Fire. Just make sure that when you get a free month of Amazon Prime that you cancel it before it expires otherwise you will be charged over $100.,1.0
"I've been utilizing the Fire 7 for several tasks includeing email, Web searches, & control of my swimming pool equipment controls. Would recommend the Tablet to others.",1.0
"This tablet is so much easier to use than my 6"" fire. It is great for reading or eatching movies.",1.0
I bought this tablet as a secondary one and I'm happy with the ease of use and fairly quick internet usage. You can't beat the price for what it gives you and it's also feels sturdy when holding it.,1.0
I am satisfied with the Kindle Fire but would have liked a bigger screen model. Good for playing games.,1.0
I love my Kindle Voyage. It truly is almost like reading a paper book.,1.0
This is very durable for a young child. It is very easy to use even for my 2 yo granddaughter.,1.0
"Great for reading books. Print is easily readable. There are a couple of font sizes to adjust to your eyesight, as well as different font types to choose from. It's very easy to change them on the fly without going deep into settings.It has nice features, such as dictionary, where you can quickly check unfamiliar words while reading, create notes, or write and read reviews.Getting books to the reader is straightforward as well. If you have wi fi connection, all you need is to create account. The selected books will be automatically transferred to your reader.If you don't have wi fi, connecting the reader with USB cable should be enough, but make sure if that works before you buy it.Battery charge lasts for a few weeks. You don't have to worry to charge it every day.The charger is not included though. Either you can charge the reader through your computer or buy the charger.Charger is faster and more convenient.There are a lot of websites offering Kindle books, there's a big selection of free books to choose from too. Public libraries, Amazon, number of various websites provide wealth of readings for Kindle.Overall, I'm very satisfied with it.On negative note, I wish the screen was a little bigger, as I don't carry it around, and it's not cheap either.",1.0
Very nice and easy to use and the kindle is great.,1.0
"The tablet works nice for reading and surfing the internet. It also has decent choice of games to download from Amazon. It also plays video decent, but the resolution on the screen on the screen is a little lacking, It is not an iPad Air, but as a basic tablet it functions well for the price.",1.0
"Great for my dad, who has trouble with smaller print. He has had no problems setting it up and getting started.",1.0
It is reasonably priced so you can replace if need be. The small size is perfect for kids especially when travelling.,1.0
It started cutting off and on by itself!!! Its like it had a mind of its own!!!,1.0
"Excellent tablet I have used , I will recommend to my friends.",1.0
"At this low price compared to competitors, it's a convenient solution for a variety of applications. I keep it in the living room as a controller, having loaded the Harmony app to control activities and devices via the Harmony hub.",1.0
the amazon fire sucks the pictures and camera sucks and blurry as can be,1.0
I bought this tablet for my 4 year old daughter. Too many advertisements. I would rather pay more and not have a single ad.,1.0
Love the Kindle Fire. Was a previous Nook user. This is so much better and am so much more happier with it.,1.0
Purchased this for daughter as a first tablet. She loves it and it is easy to use. Plus it won't break the bank for a great quality tablet.,1.0
"To begin with this is the best reader available right now. Brighter than the pw2. Just awesome. Whether or not its a worthwhile upgrade from the paperwhite is another topic. Either way, it's a great piece of hardware- light, good grip, light etc. there is one HUGE issue however! The background light is not uniform- it is tinged yellow towards the top and blue towards the bottom of the device. For a $200 device thats unacceptable! How much that bothers u will be subjective and u wont notice it as much once u get into your book. The problem was present on all 3 devices I purchased (and returned), to the exact same degree. I kept the last one because it still is an awesome reader and it seems like its a production issue. Going through amazon reviews, various online forums- it seems to be present on a large number of devices if not all. Amazon refuses to address the issue, probably because they'll get sued or something for releasing a wonky product, like the iphone antenna problem bottom line- great device, but you have a high risk of receiving a unit with the gradient issue (youtube it if u cant visualize what I'm talking about, tons of videos out there describing it) . How bad it is seems to depend on your personal luck, or which batch your local bestbuy has stock from, and most importantly it will bother you / what youre willing to settle for. In my case, i hated it but there was no alternative- the pw2 seemed like a huge downgrade in a head to head comparison so i decided to keep my voyage and live with it. If thats a problem for you, wait for the 2015 edition. The pw1 had this issue apparently and it was addressed quietly by amazon in the pw2.",1.0
Very good price for this tablet. It is a gift for my son.,1.0
love my kindle it's awesome read on it in the dark all the time,1.0
This little device is great. It has a quick set up and easy instructions,1.0
"The screen is great and doesn't strain your eyes at all, and page transitions are smooth. Easy to buy books from amazon (either on the device or a computer) and get them on the kindle instantly.",1.0
"the kids use it every chance they get, this is the fourth one we have bought.",1.0
"Let's be realistic on two fronts about the Echo: (1) I'ts fun to play with, a novel idea. (2) There are some serious flaws and if you doubt me you can try these yourself. Ask Alexa these three questions:(1) ""What is the Customer Service Number for UPS?"". You'll be told the phone number of your nearest UPS store. No matter how you phrase the question.(2) ""Alexa, what is the current humidity outside?"". You'll get the days weather report no matter how you pose the question. Seriously, it cannot even provide the Humidity?(3) ""Alexa, Who makes the 747 Jet?"". You'll hear ""Hmmm, I'm not sure what you meant by that question. So throw in a clue with ""Alexa, who makes the Boeing 747 Jet?"" and you'll hear the same answer. And this product is alleged to go out to the web to pull down information from Wikipedia, et al?(4) The reproduction of music is egregious at best. Read anywhere on the Internet and you'll see this mentioned time and time again. It's very, very bad. Imagine a 1960's Transistor Radio not quite tuned well..(5) The voice quality sounds like something from a Commodore-64 back in the 1980's. Another very common complaint you'll read about in reviews.This is going back tonight. Not worth the $179.00 and I feel it's slated to go the route of the Pet Rock (for those who remember it).",1.0
This is my first e reader. I did ttry my friends papperwhite but voyage is the best of the e reader world. The screen is awesome. I read a lot at night before I sleep and I use to read in my mobile which after sometime feels like my eyes are burning. But with voyage I can read as much time I want. No strain no burning sensation in my eyes. Compared to the papperwhite the screen looks better. Feels like I am actually reading a paper book.,1.0
"Works really well have no complaints about this product, I would recommend this product to anyone who ask",1.0
"This is my third Kindle and by far the best. I know use this for 100% of all reading - including - and the reason I bought it, for reading in the pool. I still own 2 good tablets and a laptop. This does not compete with them. Absolutely outstanding outside in Dallas. This does not overheat, with absolutely zero glare. Yes I can read in the pool on a sunny day. I have about 300 books on this and don't charge it but once every other week. I use it 1-3 hours a day without fail. I wish the unit was truly water resistant and it's built in browser is almost worthless. This is an eReader and not a tablet.",1.0
I bought the Fire for my 8 year old for school after a suggestion from the sales rep in store. Went to set it up and it required a credit card number be entered. Couldn't even download free kids apps. Why would I want my child able to accidently buy something? I refused and thus not able to download anything. We will be returning it. Product appears best for an adult who likes to read books on tablet.,1.0
"The voyage is a great e reader for the avid reader. It's not a tablet so don't expect features of an internet tablet. However the auto-adjust backlight feature & minimal flash between pages makes it ideal for readers. This version includes the vocabulary builder, which I find myself using a lot nowadays. However, I'm not sure why it's more expensive than the paperwhite. That's the one I actually wanted but my local store was out of stock. I thought it included the 3g so you can download even when away from wifi but it doesn't. So that's why I'm confused on the price difference. The overall feel of it is fine. Not a lot thinner than the original. I keep mine in a case and whenever it goes idle I have to take it out of the case just to press the power button, which is pretty inconvenient. Oh and it freezes when charging which made me extremely nervous the first time because I thought it was broken but I just held the power button for like ten seconds and it was fine... other than those very minor complaints,I love it. I find myself reading way more than watching tv these days so that's always a plus!",1.0
"Okay, so I am a slow adopter of using Kindle readers, but I have made stupendous use of this since buying it. I use it at work for keeping up to date with business journals and reading books on management styles and skills. Even my original intent was for use at work I find myself reading additional books for my personal entertainment more often. Screen is very easy to read in varying light conditions and menu is easily navigated. I am thinking of buying more of these for gifts at work for my employees at Christmas time.",1.0
"Light, easy to read, large capacity and multiple ways to turn pages. What else can I say, it's a wonderful reader, especially in the Florida sunlight. Also, the iPhone app that sync your ready progress is great for times you have your phone but not the kindle.",1.0
My 3 yr. old loves this and is the perfect size for our needs,1.0
"It's affordable, great for kids, it's very good.:)",1.0
I believe this is the best Amazon device because of the portability. Quality seems good. Works well with no problems so far. It's a great portable Bluetooth speaker with alexa.,1.0
Good battery life. I don't have any problems connecting to Wi-Fi.,1.0
