text,useful
"Great value for surfing the net, reading, e-mails etc",1.0
"After a lot of internal debate, review reading and getting tired of trying to hold onto my iPad in bed, I broke down and purchased this e-reader. To which I am truly glad that I made the purchase.It is light, easy to read, has a great battery life and a does not have the distractions of a smart phone or tablet. For these reasons, I'd highly recommend adding this tech to your arsenal.",1.0
Truly I should have tried to get a refund. I threw out the packaging before I realized how poorly it works. This charger only works every third day when held at a particular angle. The planets almost need to align for it to charge my Kindle. Complete disappointment.,1.0
More confusing. It would be nice to have a manual that is not online.,1.0
"This is the possibly the best Tablet if you are an Amazon store/prime centric user. But, it doesn't include the Google Play Store and doesn't include most / any of the Google apps, which are stables in the Tablet world. No Google Inbox, etc. For me, this tablet is a ""skip"". But, it's cheap and if it meets your needs you might love it.",1.0
"This has been great for travelling. I can read and watch tv/movies, and not have to take out my computer. The price sealed the deal.",1.0
Great for reading books.Screen easy to read with no glare.,1.0
Tablet is very simple and easy to use daughter loves it,1.0
Bought this for my daughter(3) and she can't even use it because it is NOT kid friendly. It is so incredibly slow!! It freezes often and does not seem to work without wifi like it is supposed to. Also was supposed to come with a year free of Amazon free time and we have been charged for it every month !( it requires you to put a card number in before initial use. ) Keep calling Amazon and the foreign people can't seem to figure out the problem. Don't buy!,1.0
I love my kindle I take it everywhere with me. It's lightweight fits in my purse just great deal!,1.0
Very good buy going to purchase one for all the family members.,1.0
So far we like this. We've not really had a lot of luck with linking to both of our phones. I really like the grocery shopping and to do list features. VERY helpful. I'm sure there is a lot more it will do that we will figure out in time.,1.0
"I got this so my son would have something to watch movies on while on a long car trip. It does that, barely. The $50 I spent for it was worth it. If you get an SD card for it you can load and watch movies. The Wi-Fi sucks and it sometimes doesn't stream movies from Netflix. Forget about YouTube.",1.0
"This is a great tablet if you have reasonable expectations. And you should definitely pay the extra $20 (for a total of $69) and get the 16 GB tablet. Is it the fastest tablet out there? Definitely not. Does it quickly do all sorts of business spreadsheets applications, etc? No. Does it do everything that an i-pad etc can do? No. But at this price point it can't be beat. People say that you can't download chrome and the google playstore. They are WRONG. I have both on this tablet and my other fire, without rooting them. And with the ability to add a 128 GB card it's a no brainer if you want to play games, watch movies/tv, surf the net, email etc. I know there are a lot of people who dislike Amazon and their products, but I am obviously not one of them.",1.0
Overpriced and should be FREE with Kindle Purchase,1.0
This was a present for my mother. It was exactly what she wanted. She finds it easy to use and allows her to read Kindle as well.,1.0
"This is an amazing ereader! The screen is crisp and clear. Super responsive to the touch. There are lots of fonts and sizes, so reading is a real pleasure, even when I'm tired. Very light and comfortable to hold. The light is perfect for reading at night without bothering your partner.",1.0
My son uses this to take notes in class and read material related to class. It has helped him by not having to take along extra books to class.,1.0
I had one of the first Kindle fires for years and I loved it. So I wanted another newer one and it's great! Has a good battery.,1.0
Alexa does a great job playing music and adding items to my shopping list. I have not used very many of the skills but I think this item has great potential to continue to improve.,1.0
"Initially I purchased this solely for the purchase of controlling Lutron lights. However, after being @ a friends house for a BBQ and watching them use this for music, I decided to give it a try to see if it could replace my Sonos.It can't, however, I've found that I'm much more likely to play Spotify through this using voice controls if I'm in and out of a room for a shorter period of time and not near a Sonos to hit play/too busy to pull the phone out for Sonos app. This thing has also become more powerful as more IoT devices and services integrate with Echo or IFTTT. There is a TREMENDOUS amount of potential... give it a try and spend at least a week getting to know Alexa. You won't be sorry.",1.0
"Bought this for my wife for Christmas (a perfect gift, if I do say so myself), and seeing the joy that it brings her on a near daily basis makes me want one for myself. Alas, it will be another six years in the sequin mines outside Nashville until I can save enough to get another one. But someday...",1.0
My son has a 1st gen iPad and some of the newer games won't work for that operating system. I wanted a decent tablet that could play those games without locking up and not be as expensive. Amazon came through with this great product to meet my needs.,1.0
Gets the job done. Lots of free apps available. I would buy a second one.,1.0
everyone has enjoyed this item. Great fun for the whole family.,1.0
This portable Bluetooth speaker has an excellent sound which can be taken anywhere unlike the Echo and Echo Dot which both have to be plugged in. Want to listen to a favorite song? Just ask Alexa. Want to know the weather report? Just ask Alexa. Want to know your horoscope? Just ask Alexa. A lot of fun and entertainment at a great price. Big things come in small packages!,1.0
