text,useful
From their crazy enthusiasm to the great different customizable coffee there is nothing I don't like about this place. They always have a smile on their faces and spark up a conversation every single time! Minimal wait time while the line is long.,1.0
"Awful. Completely awful. Bought tickets to see CALVIN Harris here and drove out from SoCal to see him. 
So awful. Paid for tickets and couldn't even walk in there. So overcrowded. Security didn't do anything. So many people in there that couldn't handle their alcohol and were sloppy and kept bumping into people and hitting us and trying to start something. Left before we even got to see Calvin. That was my first and last time at Omnia. Love hakassan too but don't know if we will be going back at all to these clubs.",1.0
"One night after leaving Fat Tuesday, my friend and I decided to grab some quick food. Because I go to Pampas a lot, I always walk pass this place. We didn't really want to spend a lot of time eating nor did we want a lot of food.

We stopped in because I remember seeing an ad for a cheap cheeseburger. We didn't really want a table so we sat at the bar. The bartender lady was high or something. She didn't pay attention to us and she was frowning the whole time with her hood on her head.

We mentioned the cheeseburger ad and she said that it's 6.99 and that we could add bacon for no additional charge, so we did. I asked her what else came on the burger and she acted like it was a trick question or something. She told us that it came with mayo, mustard, ketchup, lettuce, and onion all on the side. Then she walked away.

The bartender brought the burgers out, after about 12 minutes. She dropped them and left. The burgers had bacon, lettuce and onions on it. Nothing was on the side.

We had to get up three times are ask for condiments because the bartender was no where to be found. By the time we got the condiments, the fries were lukewarm, which pissed me off. Well actually the fries was a surprise to me. I didn't know the burger came with fries. Either way, they were cold by the time I got to eat them.

The burger was dry, even with the mayo. The bacon was undercooked and the fries didn't have a lot of seasoning. Even though the fries were not hot, it still tasted better than the burger. The burger tasted like a boot.

We will not go back!",1.0
"2 years later, I am forced to go here to get some work done on my car. First the lady tells me it is $190 for diagnostics, I'm like seriously, I have to pay for you not to know what is wrong with my car? But in the grand scheme of things $190 might not be that much. 

Fast forward to 3 days later, she calls me back, they still have no idea what is wrong with my car and now she tells me my total is $700 (or something... I don't remember the exact amount)

I'm like-- for what?!? 
Her-Diagnostics. 
I'm like-you said that was $190... 
Her-I am actually giving you a discount because we still don't know what is wrong
Me- Seriously, do you understand how stupid that sounds...
Her- Diagnostics are $190 an hour

At this point I freak and pull out my notepad that I wrote everything down on, I read it back to her ""We are going to hook the car up to the computer to understand the error codes and run diagnostics, they are $190""

Her-Yeah see they are $190
Me- So how the hell are you charging me $700 instead of $190, I want to talk to the manager
Her- I am the manager
Me- (I should have said, well you can't do math) Ok, so how is it $700 for something that costs $190
Her- It's $190 an hour
Me- I never agreed to that, I want my car back NOW!
Her- You still owe $700
Me- So, I have to give you $700 to not do a single effing thing that was productive or successful to my car?

Ok, so here I flipped out. There may have been swearing, etc. This is just ridiculous. Poor business practices! 

Finally,  she contacts my insurance company and they agree to pay for it, which is fine for me, BUT don't go here. Seriously, what if my insurance sucked? In my opinion, this woman straight up lied to me, repeatedly.",1.0
"All of the yes. Everything I put in my mouth from them was magical. The miso soup was hot and flavorful. The shrimp tempura was crisp and the sauce they sent with it was complex and multifaceted. The chirashi was some of the freshest I've eaten and the forbidden rice was delicious as well. I've always thought I hated wasabi, but it turns out I only hate powdered wasabi - the fresh stuff is delicious in moderation.",1.0
"I brought my 1990 Chevy van back to DKA to have the air conditioning repaired, since they did such a good job with the previous work. They pretty much had to refurbish my entire system, as the van is 25 years old. When I first got the van back I wasn't sure if it was blowing cold enough, but after thoroughly sealing and insulating the cab of the van, it cools down nicely now. I still need to have the windows tinted as well. Overall. It was a good job and I'm satisfied.",1.0
"Still getting to know our new backyard, best way is finding a new breakfast joint on the weekend.  Plenty for everyone in your group.  Our waitstaff was incredibly gracious.",1.0
"OMG - Save your self the lots of trouble! Do not buy a car from this dealership! I wish I would have read these yelp reviews before I purchased from this dealer. We purchased a brand new Van in October, 7 months ago. The Van had all the features that we wanted. All of a sudden after 7 months the Navigation stopped working. We called in to make an appointment and have it fixed. Now they tell me I don't have navigation and I need to talk to the salesperson, WTH why would the management tell me to talk to the salesperson? Then they go ahead and say for another $595 they can update the navigation. Be careful they lie and do what ever to get the sale then they don't care about customer service. DO NOT BUY A CAR FROM HERE!!",1.0
"Love love love this German Beer House meets Texas Grill joint! From the outside it looks small but they also have an outdoor patio that caters to groups and parties. They also have ping pong, corn hole, and giant Jenga, which is a nice touch.

My boyfriend and I went there for happy hour which had certain apps for $2 off and pints for $2 off. I appreciate that they had some beers on Nitros which gives you the smooth taste of the beer without the carbonated effect. I got the Four Peaks Brewing Co. Oatmeal Stout, which was my bf's favorite of the 4-beer flight he got too. 

For food, we got pretzels with cheese dip ($4 during HH), Sriracha butter wings ($5), and shared an order of small Belgian fries with truffle aioli and Moroccan lamb brat with apricot chutney. Everything was delicious, loved that nothing was oily or too salty. The aioli that came with the fries had just the right amount of truffle flavor. The brat was probably the best brat we've ever had and paired nicely with the apricot chutney.

They were definitely busy as it was a Friday afternoon when we went and they were catering to a large wedding rehearsal party, yet they still had the ability to be attentive to us :)

Highly recommend this fun beer house for happy hour!",1.0
"This place would get my 5 stars if they spoke English but no one seemed to be able to. The menu was hilarious! Beff pho, appetisers, etc. Classic! Food was good though and to be expected from a Vietnamese restaurant.",1.0
Walked in and the girl up front was very rude. Said they wouldn't substitute short rib for beef and they said they couldn't do it. Also mentioned that every other L&L does this except them. Last time I will be here.,1.0
