text,stars
"Delicious! Took my parents here for dinner one Friday and it was packed to the gills. Awesome food and great service, we got mackerel, squid\/pork and chicken lettuce wraps, served with a slew of side dishes, and we were absolutely stuffed.",1.0
Great restaurant and our dinner was delicious. LeAnn helped explain the menu and was helpful and attentive. We will definitely be back!,1.0
"A friend of my son goes to Valley Child Care & Learning and loves it so we picked it out to be our preschool, too. We like the big outdoor playground, the nice teachers and the healthy breakfast, lunch, and snacks they serve. My son often comes home with colorful art, learning projects, or telling me all about the music\/reading\/fun things they do. This is very different from his CA preschool, which he didn't have much to say about. 
Valley Child Learning Center is really getting my lil guy ready for kindergarten, and I appreciate that.
See ya there!",1.0
"Muy caliente ! This place is amazing, great new neighborhood authentic Mexican place with a modern twist. Killer food, great lighting, server is out of this world. 10\/10. Charlottes best gem, Martin was the best server",1.0
"great facility, don't let the outside fool you! inside the salon, the atmosphere is very relaxing, calming and quiet.  this was my first float, I have chronic back pain that I normally have to take pain pills to control. after floating, I feel like a new person. my back pain is almost completely gone. thank you true rest! I wish there was a float spa in northern CO",1.0
"Amazing, everything the staff is amazing with our family every time we eat here ., they seat us immediately and are attentive to my son who has autism., I couldn't recommend a better place to eat breakfast at the management is amazing the food is so good!!  I highly recommend if you have a family or just looking to get out for breakfast to check this place out",1.0
"I had a blast here! The food, drinks, atmosphere is awesome. It's definitely the place to be in Charlotte. A must visit if you come for the night life.",1.0
"Home run!!!
I had bookmarked this place after seeing several Yelper's glowing reviews and was lucky to spot it located in the same shopping area as where we had dinner plans. After dinner I was excited to finally check this place out. Sadly, I forgot they have ""Cornish Pasty Co"" pasty here, otherwise I would have totally cancelled dinner plans and had dinner here! 

The ambience is very nice. Loved the music selection and the comfy chairs. (Hate it when the chairs are too stiff and uncomfortable) There are a few board games and a huge chalk wall on one side for self entertainment for those who need it.

The wines we tried were all absolutely lovely. I even tried a wine flight which I highly recommend because it'll give you a chance to try some wines you'd never commit to. Win win. 

Service was very attentive and unpretentious. The guys behind the bar were fun and seemed genuinely glad to be there. At one point, the guys passed around a huge decadent platter of goodies, a variety of cookies and brownies for us to try. Now, that's what I call great service! Will definitely be back!",1.0
"Typically I'm not a huge fan of this store, but today went rather well. I went in to have my cell phone upgraded and was helped by an associate named Marcus. He was super friendly and very helpful. Even though he was new, you could tell he was trying very hard in the process. He was awesome and recommend you see him for an cellular needs!",1.0
"I only wish that we could give Gerber Collision & Glass more than 5 stars.  Cannot say enough positive things about the people there, the quality of their work, and their communication skills along the way.

We were in a fender bender and our insurance (Farmer's) suggested numerous places for repair.  I went through the list and selected Gerber based on the positive reviews here on Yelp.  We were not disappointed.

I echo all of the other glowing reviews and agree that they are simply amazing.  Every person we dealt with was friendly, professional, and actually interested in our vehicle getting repaired.

We will be recommending Gerber to all of our friends and family.",1.0
